,Unnamed: 0,time,lat,lon,max,Mpf,Dep,flag,MwAsg,cutlat,cutlon,cellNo,label
5529,3930,2015-09-10 20:30:00,54.31399999999999,-117.603,2.13,2.13,3.53,1,2.1,52,46,5246,0.0
5530,3931,2015-09-10 22:45:00,54.312,-117.583,2.11,2.11,2.46,1,2.1,52,46,5246,0.0
5531,3932,2015-09-10 23:15:00,54.31100000000001,-117.545,2.49,2.49,3.49,1,2.5,52,47,5247,0.0
5532,3933,2015-09-11 00:49:00,54.313,-117.569,2.18,2.18,3.54,1,2.2,52,46,5246,0.0
5533,3935,2015-09-11 02:12:00,54.309,-117.602,2.17,2.17,2.9,1,2.2,52,46,5246,0.0
5534,3936,2015-09-11 04:00:00,54.305,-117.571,2.2,2.2,3.25,1,2.2,52,46,5246,0.0
5535,3938,2015-09-11 06:01:00,54.316,-117.581,2.06,2.06,3.49,1,2.1,52,46,5246,0.0
5536,3939,2015-09-11 09:21:00,54.31399999999999,-117.617,2.03,2.03,2.93,1,2.0,52,46,5246,0.0
5537,3940,2015-09-11 12:04:00,54.31399999999999,-117.591,2.11,2.11,3.11,1,2.1,52,46,5246,0.0
5538,3941,2015-09-11 18:32:00,54.312,-117.587,2.21,2.21,3.62,1,2.2,52,46,5246,0.0
5539,3942,2015-09-12 00:17:00,54.287,-117.666,2.25,2.25,7.43,1,2.3,52,46,5246,0.0
5540,3943,2015-09-12 00:59:00,54.313,-117.634,2.17,2.17,3.63,1,2.2,52,46,5246,0.0
5541,3944,2015-09-12 04:29:00,54.312,-117.555,2.07,2.07,6.52,1,2.1,52,47,5247,0.0
5542,3945,2015-09-12 07:08:00,54.307,-117.601,2.13,2.13,3.33,1,2.1,52,46,5246,0.0
5543,3946,2015-09-12 08:45:00,54.32,-117.584,2.05,2.05,3.8,1,2.0,52,46,5246,0.0
5544,3948,2015-09-12 12:00:00,54.283,-117.66,2.16,2.16,7.0,1,2.2,51,46,5146,0.0
5545,3949,2015-09-12 18:57:00,54.262,-117.612,2.21,2.21,7.0,1,2.2,51,46,5146,0.0
5546,3950,2015-09-12 19:54:00,54.3,-117.564,2.21,2.21,7.01,1,2.2,52,46,5246,0.0
5547,3951,2015-09-13 06:09:00,54.315,-117.571,2.07,2.07,3.49,1,2.1,52,46,5246,0.0
5548,3952,2015-09-13 08:39:00,54.301,-117.576,2.82,2.82,7.0,1,2.8,52,46,5246,0.0
5549,3955,2015-09-13 19:02:00,54.273,-117.552,2.32,2.32,8.36,1,2.3,51,47,5147,0.0
5550,3956,2015-09-13 21:23:00,54.284,-117.672,2.5,2.5,11.3,1,2.5,51,46,5146,0.0
5551,3957,2015-09-14 06:00:00,54.257,-117.587,2.34,2.27,12.11,1,2.3,51,46,5146,0.0
5552,3958,2015-09-14 09:50:00,54.305,-117.647,2.02,2.02,3.15,1,2.0,52,46,5246,0.0
5553,3959,2015-09-14 11:39:00,54.286,-117.622,2.02,2.02,6.57,1,2.0,52,46,5246,0.0
5554,3960,2015-09-14 12:24:00,54.31800000000001,-117.569,2.27,2.27,9.96,1,2.3,52,46,5246,0.0
5555,3962,2015-09-14 17:47:00,54.246,-117.726,2.18,2.18,8.97,1,2.2,51,45,5145,0.0
5556,3964,2015-09-14 20:41:00,54.337,-117.606,2.39,2.39,3.81,1,2.4,52,46,5246,0.0
5557,3965,2015-09-14 20:58:00,54.323,-117.587,2.22,2.22,3.49,1,2.2,52,46,5246,0.0
5558,3966,2015-09-14 23:30:00,54.343,-117.588,2.12,2.12,3.5,1,2.1,52,46,5246,0.0
5559,3968,2015-09-15 07:35:00,54.308,-117.638,2.05,2.05,2.95,1,2.0,52,46,5246,0.0
5560,3970,2015-09-15 10:59:00,54.302,-117.562,2.47,2.47,2.93,1,2.5,52,46,5246,0.0
5562,3978,2015-09-16 05:06:00,54.322,-117.661,1.0,1.0,3.47,1,1.0,52,46,5246,0.0
5563,3979,2015-09-16 12:20:00,54.34,-117.606,1.8,1.8,3.04,1,1.8,52,46,5246,0.0
5564,3980,2015-09-16 12:42:00,54.295,-117.658,1.1,1.1,3.66,1,1.1,52,46,5246,0.0
5565,3985,2015-09-17 12:06:00,54.31399999999999,-117.594,2.1,2.1,2.93,1,2.1,52,46,5246,0.0
5566,3989,2015-09-18 02:13:00,54.317,-117.593,2.09,2.09,3.49,1,2.1,52,46,5246,0.0
5567,3991,2015-09-19 10:32:00,54.31399999999999,-117.572,2.11,2.11,3.49,1,2.1,52,46,5246,0.0
5568,3992,2015-09-20 03:03:00,54.46100000000001,-117.229,2.28,2.28,3.82,1,2.3,53,49,5349,0.0
5569,3993,2015-09-20 03:37:00,54.316,-117.629,2.08,2.08,3.29,1,2.1,52,46,5246,0.0
5570,3994,2015-09-20 13:01:00,54.33,-117.582,2.16,2.16,3.7,1,2.2,52,46,5246,0.0
5571,3996,2015-09-20 17:02:00,54.462,-117.215,2.17,2.17,2.41,1,2.2,53,49,5349,0.0
5572,3998,2015-09-22 09:47:00,54.31800000000001,-117.635,2.19,2.19,3.15,1,2.2,52,46,5246,0.0
5573,3999,2015-09-22 13:09:00,54.316,-117.63,2.48,2.48,3.7,1,2.5,52,46,5246,0.0
5574,4006,2015-09-24 05:19:00,54.462,-117.223,2.88,2.88,4.13,1,2.9,53,49,5349,0.0
5575,4016,2015-09-25 00:58:00,54.313,-117.631,2.41,2.41,8.0,1,2.4,52,46,5246,0.0
5576,4043,2015-10-01 13:45:00,54.331,-117.615,2.53,2.53,7.83,1,2.5,52,46,5246,0.0
5577,4062,2015-10-05 15:20:00,54.50899999999999,-117.289,2.68,2.68,3.97,1,2.7,53,48,5348,0.0
5579,4072,2015-10-11 08:06:00,54.344,-117.486,2.34,2.34,3.49,1,2.3,52,47,5247,0.0
5581,4081,2015-10-15 22:40:00,54.33600000000001,-117.565,2.48,2.48,3.3,1,2.5,52,46,5246,0.0
5582,4085,2015-10-19 00:10:00,54.337,-117.647,2.15,2.15,3.5,1,2.1,52,46,5246,0.0
5584,4094,2015-10-24 23:26:00,54.34,-117.608,2.44,2.44,3.49,1,2.4,52,46,5246,0.0
5586,4119,2015-11-07 11:09:00,54.328,-117.595,2.49,2.49,3.88,1,2.5,52,46,5246,0.0
5594,4172,2015-12-02 09:11:00,54.50899999999999,-117.297,2.22,2.22,3.08,1,2.2,53,48,5348,0.0
5596,4181,2015-12-07 07:35:00,54.31800000000001,-117.556,2.21,2.21,2.35,1,2.2,52,47,5247,0.0
5600,4204,2015-12-23 13:01:00,54.297,-117.071,2.3,2.3,6.96,1,2.3,52,50,5250,0.0
5602,4206,2015-12-23 22:45:00,54.282,-117.013,2.37,2.37,2.01,1,2.4,51,51,5151,0.0
5605,4238,2016-01-09 06:05:00,54.422,-117.31,2.11,2.11,7.0,1,2.1,53,48,5348,0.0
5606,4239,2016-01-09 08:56:00,54.352,-117.275,2.03,2.03,7.01,1,2.0,52,49,5249,0.0
5607,4240,2016-01-09 09:00:00,54.419,-117.301,2.12,2.12,7.0,1,2.1,53,48,5348,0.0
5608,4242,2016-01-09 12:52:00,54.423,-117.29,2.04,2.04,7.0,1,2.0,53,48,5348,0.0
5609,4243,2016-01-09 15:10:00,54.419,-117.341,2.08,2.08,7.02,1,2.1,53,48,5348,0.0
5610,4244,2016-01-09 18:01:00,54.41,-117.317,2.58,2.58,3.97,1,2.6,53,48,5348,0.0
5611,4247,2016-01-10 03:33:00,54.414,-117.348,2.31,2.31,3.47,1,2.3,53,48,5348,0.0
5612,4248,2016-01-10 13:27:00,54.401,-117.296,2.73,2.73,5.83,1,2.7,52,48,5248,0.0
5613,4250,2016-01-10 22:00:00,54.423,-117.265,2.46,2.46,7.0,1,2.5,53,49,5349,0.0
5614,4252,2016-01-11 01:38:00,54.392,-117.272,2.46,2.46,3.49,1,2.5,52,49,5249,0.0
5616,4255,2016-01-12 04:24:00,54.412,-117.368,2.38,2.38,4.3,1,2.4,53,48,5348,0.0
5617,4256,2016-01-12 14:13:00,54.416,-117.299,2.61,2.61,3.46,1,2.6,53,48,5348,0.0
5618,4257,2016-01-12 18:27:00,54.411,-117.287,4.2,4.1,1.02,1,4.1,53,49,5349,0.0
5620,4266,2016-01-20 02:37:00,54.407,-117.305,2.35,2.35,3.5,1,2.4,53,48,5348,0.0
5621,4270,2016-01-24 04:53:00,54.415,-117.306,2.59,2.59,7.27,1,2.6,53,48,5348,0.0
5622,4273,2016-01-27 22:19:00,54.465,-117.241,2.46,2.46,3.5,1,2.5,53,49,5349,0.0
5624,4278,2016-01-30 17:18:00,54.42,-117.296,2.54,2.54,3.0,1,2.5,53,48,5348,0.0
5625,4280,2016-01-31 10:30:00,54.419,-117.301,2.3,2.3,3.45,1,2.3,53,48,5348,0.0
5626,4283,2016-02-02 10:35:00,54.41,-117.293,2.32,2.32,3.5,1,2.3,53,48,5348,0.0
5629,4327,2016-02-20 01:53:00,54.432,-117.347,2.11,2.11,6.96,1,2.1,53,48,5348,0.0
5632,4349,2016-02-27 04:17:00,54.422,-117.31,2.1,2.1,3.5,1,2.1,53,48,5348,0.0
5633,4351,2016-02-27 15:26:00,54.441,-117.391,2.1,2.1,6.66,1,2.1,53,48,5348,0.0
5634,4352,2016-02-28 20:57:00,54.422,-117.319,2.64,2.4,3.0,1,2.4,53,48,5348,0.0
5635,4364,2016-03-04 05:01:00,54.419,-117.291,2.37,2.37,3.5,1,2.4,53,48,5348,0.0
5636,4365,2016-03-04 13:09:00,54.43,-117.36,2.11,2.11,6.84,1,2.1,53,48,5348,0.0
5637,4369,2016-03-06 21:54:00,54.417,-117.306,2.19,2.19,3.5,1,2.2,53,48,5348,0.0
5638,4373,2016-03-07 23:16:00,54.42100000000001,-117.303,2.26,2.26,3.5,1,2.3,53,48,5348,0.0
5639,4375,2016-03-08 05:24:00,54.334,-117.55,2.15,2.15,3.5,1,2.1,52,47,5247,0.0
5640,4378,2016-03-08 08:39:00,54.427,-117.323,2.18,2.18,3.47,1,2.2,53,48,5348,0.0
5643,4414,2016-03-19 16:40:00,54.418,-117.308,2.51,2.51,3.36,1,2.5,53,48,5348,0.0
5644,4417,2016-03-21 11:45:00,54.426,-117.313,2.05,2.05,3.5,1,2.0,53,48,5348,0.0
5645,4419,2016-03-22 02:58:00,54.42100000000001,-117.31,2.04,2.04,3.5,1,2.0,53,48,5348,0.0
5646,4423,2016-03-26 13:09:00,54.426,-117.317,2.07,2.07,3.5,1,2.1,53,48,5348,0.0
5647,4424,2016-03-27 06:53:00,54.32100000000001,-117.583,2.6,2.45,3.69,1,2.5,52,46,5246,0.0
5648,4432,2016-03-30 21:15:00,54.422,-117.319,2.59,2.59,3.5,1,2.6,53,48,5348,0.0
5649,4450,2016-04-09 16:27:00,54.414,-117.316,2.23,2.23,6.97,1,2.2,53,48,5348,0.0
5650,4453,2016-04-10 13:36:00,54.415,-117.312,2.7,2.66,8.3,1,2.7,53,48,5348,0.0
5651,4454,2016-04-10 18:33:00,54.407,-117.333,2.14,2.14,6.92,1,2.1,53,48,5348,0.0
5652,4462,2016-04-17 02:48:00,54.417,-117.305,3.0,2.38,3.34,1,2.4,53,48,5348,0.0
5653,4476,2016-04-23 11:03:00,54.417,-117.293,3.2,2.95,9.72,1,3.0,53,48,5348,0.0
5655,4489,2016-04-30 23:12:00,54.383,-117.291,2.1,2.1,6.9,1,2.1,52,48,5248,0.0
5656,4494,2016-05-03 02:59:00,54.435,-117.392,2.07,2.07,4.54,1,2.1,53,48,5348,0.0
5660,4505,2016-05-12 01:49:00,54.415,-117.378,2.43,2.43,6.72,1,2.4,53,48,5348,0.0
5662,4507,2016-05-14 02:42:00,54.46100000000001,-117.415,2.41,2.41,6.98,1,2.4,53,48,5348,0.0
5664,4513,2016-05-17 03:45:00,54.419,-117.309,2.49,2.49,3.5,1,2.5,53,48,5348,0.0
5667,4529,2016-05-25 09:20:00,54.413,-117.342,2.09,2.09,3.49,1,2.1,53,48,5348,0.0
5668,4530,2016-05-25 09:31:00,54.423,-117.321,2.06,2.06,3.49,1,2.1,53,48,5348,0.0
5673,4547,2016-06-03 20:26:00,54.411,-117.319,2.41,2.41,6.81,1,2.4,53,48,5348,0.0
5674,4552,2016-06-05 16:04:00,54.363,-117.533,1.99,1.99,3.5,1,2.0,52,47,5247,0.0
5675,4562,2016-06-09 11:55:00,54.416,-117.316,2.45,2.45,3.5,1,2.5,53,48,5348,0.0
5676,4567,2016-06-10 06:16:00,54.431,-117.361,1.95,1.95,6.85,1,2.0,53,48,5348,0.0
5677,4569,2016-06-11 06:38:00,54.4,-117.734,2.07,2.07,6.96,1,2.1,52,45,5245,0.0
5679,4574,2016-06-13 18:06:00,54.4,-117.371,2.19,2.19,6.7,1,2.2,52,48,5248,0.0
5680,4578,2016-06-15 06:01:00,54.427,-117.339,2.05,2.05,7.01,1,2.0,53,48,5348,0.0
5681,4589,2016-06-19 12:40:00,54.422,-117.31,2.2,2.2,7.01,1,2.2,53,48,5348,0.0
5682,4591,2016-06-21 01:47:00,54.426,-117.383,2.07,2.07,7.36,1,2.1,53,48,5348,0.0
5683,4592,2016-06-21 14:18:00,54.434,-117.353,2.46,2.46,3.47,1,2.5,53,48,5348,0.0
5684,4594,2016-06-23 04:29:00,54.40600000000001,-117.314,2.0,2.0,4.4,2,1.9,52,48,5248,0.0
5686,4602,2016-06-28 00:50:00,54.418,-117.319,2.59,2.59,3.5,1,2.6,53,48,5348,0.0
5687,4603,2016-06-28 08:22:00,54.417,-117.316,2.47,2.47,3.5,1,2.5,53,48,5348,0.0
5692,4652,2016-07-19 17:06:00,54.392,-117.294,2.2,2.2,6.85,1,2.2,52,48,5248,0.0
5693,4670,2016-07-26 11:06:00,54.431,-117.372,1.98,1.98,7.3,1,2.0,53,48,5348,0.0
5694,4674,2016-07-28 22:24:00,54.29600000000001,-116.923,2.2,2.2,6.98,1,2.2,52,51,5251,0.0
5696,4685,2016-08-11 08:58:00,54.423,-117.299,2.53,2.53,3.5,1,2.5,53,48,5348,0.0
5698,4688,2016-08-13 09:18:00,54.438,-117.423,0.9,0.9,3.35,1,0.9,53,48,5348,0.0
5699,4693,2016-08-20 21:01:00,54.411,-117.344,2.64,2.64,4.13,1,2.6,53,48,5348,0.0
5701,4713,2016-09-09 22:00:00,54.369,-117.527,2.18,2.18,3.44,1,2.2,52,47,5247,0.0
5703,4726,2016-09-16 03:27:00,54.429,-117.394,2.34,2.34,6.78,1,2.3,53,48,5348,0.0
5704,4727,2016-09-17 09:11:00,54.43,-117.38,2.07,2.07,6.78,1,2.1,53,48,5348,0.0
5705,4728,2016-09-17 14:42:00,54.42,-117.313,2.4,2.37,3.5,1,2.4,53,48,5348,0.0
5706,4729,2016-09-18 03:56:00,54.432,-117.375,2.13,2.13,6.81,1,2.1,53,48,5348,0.0
5708,4737,2016-09-22 14:50:00,54.422,-117.305,2.88,2.88,1.91,1,2.9,53,48,5348,0.0
5712,4751,2016-10-01 18:53:00,54.423,-117.576,2.07,2.07,6.29,1,2.1,53,46,5346,0.0
5718,4791,2016-10-24 06:49:00,54.422,-117.315,2.06,2.06,3.49,1,2.1,53,48,5348,0.0
5722,4818,2016-11-10 03:05:00,54.339,-117.257,3.1,3.1,8.12,1,3.1,52,49,5249,0.0
5723,4821,2016-11-10 09:55:00,54.347,-117.255,2.8,2.8,3.5,1,2.8,52,49,5249,0.0
5725,4823,2016-11-11 02:33:00,54.348,-117.242,2.6,2.6,3.5,1,2.6,52,49,5249,0.0
5726,4824,2016-11-11 11:24:00,54.343,-117.258,2.8,2.8,3.5,1,2.8,52,49,5249,0.0
5727,4828,2016-11-15 13:28:00,54.351000000000006,-117.248,1.59,1.59,3.5,1,1.6,52,49,5249,0.0
5729,4833,2016-11-21 21:39:00,54.349,-117.308,1.84,1.84,6.63,1,1.8,52,48,5248,0.0
5730,4834,2016-11-22 10:04:00,54.364,-117.278,2.1,2.1,6.92,1,2.1,52,49,5249,0.0
5731,4835,2016-11-22 11:21:00,54.361,-117.276,1.5,1.5,6.73,1,1.5,52,49,5249,0.0
5732,4838,2016-11-22 13:18:00,54.361,-117.283,1.68,1.68,6.72,1,1.7,52,49,5249,0.0
5733,4839,2016-11-22 18:18:00,54.36,-117.286,2.6,2.6,6.57,1,2.6,52,49,5249,0.0
5734,4845,2016-11-25 05:31:00,54.357,-117.239,3.5,3.4,7.01,1,3.4,52,49,5249,0.0
5735,4846,2016-11-25 21:24:00,54.352,-117.244,3.5,3.5,3.21,1,3.5,52,49,5249,0.0
5736,4847,2016-11-27 14:52:00,54.352,-117.255,2.8,2.8,3.5,1,2.8,52,49,5249,0.0
5737,4848,2016-11-28 06:53:00,54.353,-117.269,3.0,3.0,3.5,1,3.0,52,49,5249,0.0
5738,4849,2016-11-28 15:35:00,54.355,-117.261,1.86,1.86,3.5,1,1.9,52,49,5249,0.0
5739,4850,2016-11-29 04:12:00,54.355,-117.241,3.0,3.0,3.5,1,3.0,52,49,5249,0.0
5740,4853,2016-11-29 10:15:00,54.341,-117.262,3.7,3.6,1.81,1,3.6,52,49,5249,0.0
5741,4855,2016-12-01 01:30:00,54.342,-117.263,2.7,2.7,3.5,1,2.7,52,49,5249,0.0
5742,4857,2016-12-01 20:25:00,54.342,-117.238,2.9,2.9,4.5,2,2.8,52,49,5249,0.0
5743,4858,2016-12-02 07:48:00,54.353,-117.289,1.61,1.61,6.62,1,1.6,52,48,5248,0.0
5744,4861,2016-12-03 12:48:00,54.349,-117.285,2.7,2.7,3.42,1,2.7,52,49,5249,0.0
5745,4862,2016-12-05 14:27:00,54.342,-117.236,3.3,3.3,2.31,1,3.3,52,49,5249,0.0
5746,4863,2016-12-06 01:05:00,54.345,-117.242,3.3,3.3,3.5,1,3.3,52,49,5249,0.0
5747,4865,2016-12-07 10:11:00,54.334,-117.248,3.4,3.3,1.4,1,3.3,52,49,5249,0.0
5750,4882,2016-12-20 17:02:00,54.342,-117.264,2.05,2.05,3.5,1,2.1,52,49,5249,0.0
5752,4897,2017-01-07 08:46:00,54.332,-117.841,2.6,2.6,7.03,1,2.6,52,44,5244,0.0
5753,4900,2017-01-08 19:31:00,54.312,-117.579,1.76,1.76,3.66,1,1.8,52,46,5246,0.0
5754,4902,2017-01-09 05:31:00,54.357,-117.768,2.9,2.9,6.99,1,2.9,52,45,5245,0.0
5755,4904,2017-01-09 06:11:00,54.342,-117.666,1.91,1.91,6.99,1,1.9,52,46,5246,0.0
5756,4909,2017-01-10 13:31:00,54.323,-117.758,2.7,2.7,6.98,1,2.7,52,45,5245,0.0
5757,4913,2017-01-11 04:37:00,54.246,-117.591,2.18,2.18,12.32,1,2.2,51,46,5146,0.0
5758,4914,2017-01-11 07:16:00,54.274,-117.621,1.86,1.86,9.26,1,1.9,51,46,5146,0.0
5759,4916,2017-01-11 14:25:00,54.272,-117.586,2.21,2.21,7.18,1,2.2,51,46,5146,0.0
5760,4917,2017-01-11 18:33:00,54.277,-117.614,2.24,2.24,8.48,1,2.2,51,46,5146,0.0
5761,4918,2017-01-12 02:13:00,54.26300000000001,-117.617,2.03,2.03,11.92,1,2.0,51,46,5146,0.0
5762,4924,2017-01-12 12:56:00,54.286,-117.653,2.9,2.9,3.82,1,2.9,52,46,5246,0.0
5763,4929,2017-01-13 01:07:00,54.262,-117.589,2.57,2.57,11.25,1,2.6,51,46,5146,0.0
5764,4930,2017-01-13 01:43:00,54.26300000000001,-117.194,1.46,1.46,3.44,1,1.5,51,49,5149,0.0
5766,4934,2017-01-13 22:47:00,54.352,-117.237,2.3,2.3,3.5,1,2.3,52,49,5249,0.0
5767,4935,2017-01-14 07:47:00,54.265,-117.615,2.6,2.6,9.11,1,2.6,51,46,5146,0.0
5768,4942,2017-01-16 11:07:00,54.308,-117.602,2.1,2.0,3.52,1,2.0,52,46,5246,0.0
5769,4944,2017-01-16 18:23:00,54.31,-117.594,3.0,3.0,3.5,1,3.0,52,46,5246,0.0
5771,4946,2017-01-16 22:07:00,54.323,-117.723,2.7,2.7,7.0,1,2.7,52,45,5245,0.0
5772,4948,2017-01-17 05:53:00,54.313,-117.526,2.4,2.2,3.5,1,2.2,52,47,5247,0.0
5773,4950,2017-01-17 08:22:00,54.309,-117.638,2.8,2.8,3.5,1,2.8,52,46,5246,0.0
5774,4954,2017-01-18 05:16:00,54.31399999999999,-117.606,2.8,2.8,3.5,1,2.8,52,46,5246,0.0
5775,4955,2017-01-18 10:19:00,54.312,-117.609,2.8,2.8,3.13,1,2.8,52,46,5246,0.0
5776,4958,2017-01-20 07:40:00,54.31800000000001,-117.618,2.9,2.9,3.38,1,2.9,52,46,5246,0.0
5777,4960,2017-01-20 14:28:00,54.319,-117.896,2.9,2.9,7.03,1,2.9,52,44,5244,0.0
5778,4961,2017-01-20 14:28:00,54.324,-117.511,2.5,2.5,4.7,2,2.4,52,47,5247,0.0
5779,4962,2017-01-21 08:15:00,54.303,-117.592,1.93,1.93,6.94,1,1.9,52,46,5246,0.0
5780,4963,2017-01-21 18:44:00,54.308,-117.597,1.8,1.8,2.17,1,1.8,52,46,5246,0.0
5781,4965,2017-01-22 09:38:00,54.317,-117.581,1.51,1.51,3.5,1,1.5,52,46,5246,0.0
5783,4972,2017-01-24 08:28:00,54.31100000000001,-117.658,1.97,1.97,6.98,1,2.0,52,46,5246,0.0
5784,4978,2017-01-26 20:27:00,54.317,-117.545,2.7,2.7,6.88,1,2.7,52,47,5247,0.0
5785,4993,2017-02-05 12:54:00,54.31800000000001,-117.625,2.2,2.2,3.2,2,2.1,52,46,5246,0.0
5789,5018,2017-02-24 11:26:00,54.29,-117.611,1.39,1.39,3.23,1,1.4,52,46,5246,0.0
5790,5022,2017-02-25 19:49:00,54.312,-117.679,1.73,1.73,3.53,1,1.7,52,46,5246,0.0
5793,5041,2017-03-13 13:34:00,54.383,-117.604,2.6,2.6,6.84,1,2.6,52,46,5246,0.0
5794,5042,2017-03-15 06:08:00,54.332,-117.591,1.79,1.79,2.42,1,1.8,52,46,5246,0.0
5797,5052,2017-03-20 06:35:00,54.31100000000001,-117.704,1.85,1.85,7.0,1,1.9,52,45,5245,0.0
5798,5058,2017-03-24 14:09:00,54.475,-117.624,2.7,2.7,7.0,1,2.7,53,46,5346,0.0
5799,5066,2017-03-27 05:05:00,54.34,-117.474,2.6,2.6,3.71,1,2.6,52,47,5247,0.0
5800,5069,2017-03-29 19:49:00,54.324,-117.514,1.61,1.61,6.47,1,1.6,52,47,5247,0.0
5802,5071,2017-03-31 07:03:00,54.32,-117.611,1.8,1.8,1.9,2,1.7,52,46,5246,0.0
5804,5096,2017-04-08 07:41:00,54.216,-117.749,2.48,2.48,7.02,1,2.5,51,45,5145,0.0
5806,5116,2017-04-17 10:58:00,54.431,-117.312,1.49,1.49,3.5,1,1.5,53,48,5348,0.0
5810,5170,2017-05-18 11:19:00,54.155,-117.672,2.27,2.27,10.58,1,2.3,50,46,5046,0.0
5819,5220,2017-06-12 05:06:00,54.495,-117.255,1.7,1.7,1.3,2,1.6,53,49,5349,0.0
5820,5236,2017-06-21 12:04:00,54.432,-117.461,2.43,2.43,9.67,1,2.4,53,47,5347,0.0
5821,5238,2017-06-23 05:25:00,54.434,-117.474,2.1,2.1,2.55,1,2.1,53,47,5347,0.0
5822,5239,2017-06-23 05:53:00,54.435,-117.43,2.2,2.2,3.35,1,2.2,53,47,5347,0.0
5823,5240,2017-06-23 06:13:00,54.425,-117.435,1.97,1.97,3.5,1,2.0,53,47,5347,0.0
5824,5241,2017-06-23 23:17:00,54.42100000000001,-117.458,2.46,2.46,4.93,1,2.5,53,47,5347,0.0
5825,5242,2017-06-24 06:27:00,54.432,-117.54,1.91,1.91,6.59,1,1.9,53,47,5347,0.0
5826,5243,2017-06-24 13:56:00,54.335,-117.553,1.88,1.88,3.51,1,1.9,52,47,5247,0.0
5827,5244,2017-06-24 20:35:00,54.425,-117.434,2.66,2.66,3.22,1,2.7,53,47,5347,0.0
5828,5245,2017-06-24 20:50:00,54.326,-117.566,2.04,2.04,3.5,1,2.0,52,46,5246,0.0
5829,5246,2017-06-25 07:22:00,54.433,-117.524,1.86,1.86,6.87,1,1.9,53,47,5347,0.0
5830,5247,2017-06-25 22:56:00,54.423,-117.424,3.6,3.28,3.4,1,3.3,53,48,5348,0.0
5831,5248,2017-06-26 15:54:00,54.434,-117.525,2.16,2.16,3.4,1,2.2,53,47,5347,0.0
5832,5250,2017-06-28 04:19:00,54.423,-117.425,2.47,2.47,3.97,1,2.5,53,47,5347,0.0
5833,5251,2017-06-28 19:00:00,54.424,-117.43,3.2,3.05,6.38,1,3.1,53,47,5347,0.0
5835,5253,2017-06-29 23:01:00,54.44,-117.424,2.07,2.07,6.96,1,2.1,53,48,5348,0.0
5836,5255,2017-06-30 15:11:00,54.434,-117.397,1.98,1.98,7.0,1,2.0,53,48,5348,0.0
5837,5257,2017-07-01 11:19:00,54.425,-117.552,1.95,1.95,6.44,1,2.0,53,47,5347,0.0
5838,5262,2017-07-02 10:37:00,54.412,-117.513,1.91,1.91,4.9,1,1.9,53,47,5347,0.0
5840,5266,2017-07-04 03:16:00,54.414,-117.43,2.57,2.57,4.54,1,2.6,53,47,5347,0.0
5841,5268,2017-07-05 05:12:00,54.419,-117.43,2.74,2.74,3.8,1,2.7,53,47,5347,0.0
5842,5269,2017-07-05 08:47:00,54.427,-117.528,1.84,1.84,6.54,1,1.8,53,47,5347,0.0
5843,5270,2017-07-05 09:09:00,54.423,-117.428,2.5,2.5,3.5,1,2.5,53,47,5347,0.0
5844,5271,2017-07-05 11:16:00,54.429,-117.402,2.09,2.09,6.94,1,2.1,53,48,5348,0.0
5845,5272,2017-07-05 12:33:00,54.426,-117.568,1.98,1.98,6.42,1,2.0,53,46,5346,0.0
5846,5275,2017-07-06 01:27:00,54.416,-117.45,1.9,1.9,3.5,1,1.9,53,47,5347,0.0
5847,5276,2017-07-06 02:22:00,54.28100000000001,-117.074,2.21,2.21,6.42,1,2.2,51,50,5150,0.0
5848,5277,2017-07-06 02:48:00,54.416,-117.416,2.08,2.08,6.97,1,2.1,53,48,5348,0.0
5849,5278,2017-07-06 04:51:00,54.298,-117.099,1.98,1.98,6.97,1,2.0,52,50,5250,0.0
5850,5279,2017-07-06 09:29:00,54.417,-117.446,2.46,2.46,2.96,1,2.5,53,47,5347,0.0
5851,5287,2017-07-07 13:20:00,54.415,-117.437,2.58,2.58,7.07,1,2.6,53,47,5347,0.0
5852,5291,2017-07-09 08:31:00,54.386,-117.761,1.79,1.79,6.87,1,1.8,52,45,5245,0.0
5853,5295,2017-07-10 01:14:00,54.422,-117.427,2.43,2.43,3.51,1,2.4,53,47,5347,0.0
5854,5298,2017-07-10 19:35:00,54.42100000000001,-117.439,2.4,2.4,3.5,1,2.4,53,47,5347,0.0
5855,5301,2017-07-11 06:22:00,54.42100000000001,-117.433,1.93,1.93,5.8,1,1.9,53,47,5347,0.0
5856,5306,2017-07-12 05:04:00,54.349,-117.544,1.94,1.94,3.5,1,1.9,52,47,5247,0.0
5857,5307,2017-07-14 01:30:00,54.417,-117.431,1.96,1.96,11.1,1,2.0,53,47,5347,0.0
5858,5311,2017-07-15 03:05:00,54.39100000000001,-117.417,2.68,2.68,2.21,1,2.7,52,48,5248,0.0
5859,5316,2017-07-16 01:47:00,54.41,-117.383,2.07,2.07,3.5,1,2.1,53,48,5348,0.0
5860,5317,2017-07-16 13:10:00,54.425,-117.48,2.77,2.77,7.03,1,2.8,53,47,5347,0.0
5861,5320,2017-07-17 00:11:00,54.401,-117.444,2.56,2.56,3.48,1,2.6,52,47,5247,0.0
5862,5321,2017-07-17 08:32:00,54.279,-117.796,2.03,2.03,5.06,1,2.0,51,45,5145,0.0
5863,5326,2017-07-18 16:09:00,54.352,-117.594,1.87,1.87,3.5,1,1.9,52,46,5246,0.0
