yr,mo,dy,hh,mm,ss,lat,lon,max,ML,MN,MB,MW,MS,MC,MD,MZ,Mpf,Tmpf,Dep,Dep_err,DD,flag,zf,mf,MwAsg,eventType,latGSC,lonGSC,mGSC,mtGSC,latANSS,lonANSS,mANSS,mtANSS,latAGS,lonAGS,mAGS,mtAGS,MwNMX,MwNA15,MwGSC,MwAGS,MwANSS
1906,11,1,17,49,0,48.5,-117.9,4.3,4.3,-9.99,-9.99,-9.99,-9.99,-9.99,-9.99,-9.99,4.3,ML,0,-9.99,Z,4,0,-0.06,4.2,3,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,-9.99,-9.99
1918,2,4,20,37,0,52.28,-118.37,6,6,-9.99,-9.99,-9.99,-9.99,-9.99,-9.99,-9.99,6,ML,0,-9.99,Z,4,0,-0.06,5.9,3,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,-9.99,-9.99
1925,8,10,16,30,0,49.3,-112.5,4.3,4.3,-9.99,-9.99,-9.99,-9.99,-9.99,-9.99,-9.99,4.3,ML,0,-9.99,Z,4,0,-0.06,4.2,3,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,-9.99,-9.99
1934,11,3,14,50,0,48,-121,4.9,4.9,-9.99,-9.99,-9.99,-9.99,-9.99,-9.99,4.9,4.9,ML,0,-9.99,Z,4,0,-0.06,4.8,3,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,-9.99,-9.99
1936,3,28,9,15,0,50.5,-119.5,4.5,4.5,-9.99,-9.99,-9.99,-9.99,-9.99,-9.99,-9.99,4.5,ML,0,-9.99,Z,4,0,-0.06,4.4,3,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,-9.99,-9.99
1941,4,7,9,25,0,48.3,-119.6,4.5,4.5,-9.99,-9.99,-9.99,-9.99,-9.99,-9.99,-9.99,4.5,ML,0,-9.99,Z,4,0,-0.06,4.4,3,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,-9.99,-9.99
1942,10,14,11,30,0,48.3,-120.6,4.3,4.3,-9.99,-9.99,-9.99,-9.99,-9.99,-9.99,-9.99,4.3,ML,0,-9.99,Z,4,0,-0.06,4.2,3,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,-9.99,-9.99
1942,11,1,18,50,0,48,-116.7,5.5,5.5,-9.99,-9.99,-9.99,-9.99,-9.99,-9.99,-9.99,5.5,ML,0,-9.99,Z,4,0,-0.06,5.4,3,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,-9.99,-9.99
1945,9,23,9,57,0,48,-114.25,5.5,5,-9.99,-9.99,-9.99,-9.99,-9.99,-9.99,5.5,5,ML,0,-9.99,Z,4,0,-0.06,4.9,3,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,-9.99,-9.99
1946,12,11,13,9,0,48.4,-114.4,5,5,-9.99,-9.99,-9.99,-9.99,-9.99,-9.99,5,5,ML,0,-9.99,Z,4,0,-0.06,4.9,3,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,-9.99,-9.99
1952,4,1,0,37,0,48,-113.8,5.5,5.5,-9.99,-9.99,-9.99,-9.99,-9.99,-9.99,5.5,5.5,ML,0,-9.99,P,4,0,-0.06,5.4,3,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,-9.99,-9.99
1953,8,8,16,50,0,48,-114,5,5,-9.99,-9.99,-9.99,-9.99,-9.99,-9.99,5,5,ML,0,-9.99,P,4,0,-0.06,4.9,3,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,-9.99,-9.99
1955,6,1,4,56,0,49.48,-114.631,4.33,4.33,-9.99,-9.99,-9.99,-9.99,-9.99,-9.99,4.33,4.33,ML,0,-9.99,P,4,0,-0.06,4.3,3,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,-9.99,-9.99
1955,7,28,18,45,0,49.75,-115,2,2,-9.99,-9.99,-9.99,-9.99,-9.99,-9.99,-9.99,2,ML,0,-9.99,Z,4,0,-0.06,1.9,3,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,-9.99,-9.99
1955,12,19,10,45,0,48.5,-116.3,2.1,2.1,-9.99,-9.99,-9.99,-9.99,-9.99,-9.99,-9.99,2.1,ML,0,-9.99,Z,4,0,-0.06,2,3,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,-9.99,-9.99
1955,12,21,3,50,0,49.4,-115.5,2,2,-9.99,-9.99,-9.99,-9.99,-9.99,-9.99,-9.99,2,ML,0,-9.99,Z,4,0,-0.06,1.9,3,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,-9.99,-9.99
1956,2,23,20,21,0,49,-120.4,2.9,2.9,-9.99,-9.99,-9.99,-9.99,-9.99,-9.99,-9.99,2.9,ML,0,-9.99,Z,4,0,-0.06,2.8,3,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,-9.99,-9.99
1956,5,14,17,4,0,50.6,-117.5,3.8,3.8,-9.99,-9.99,-9.99,-9.99,-9.99,-9.99,-9.99,3.8,ML,0,-9.99,Z,4,0,-0.06,3.7,3,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,-9.99,-9.99
1956,10,4,7,30,0,50.8,-119.7,3.3,3.3,-9.99,-9.99,-9.99,-9.99,-9.99,-9.99,-9.99,3.3,ML,0,-9.99,Z,4,0,-0.06,3.2,3,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,-9.99,-9.99
1956,10,30,21,42,0,48.8,-120.5,2.7,2.7,-9.99,-9.99,-9.99,-9.99,-9.99,-9.99,-9.99,2.7,ML,0,-9.99,Z,4,0,-0.06,2.6,3,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,-9.99,-9.99
1957,4,9,12,58,0,54.1,-120,3.4,3.4,-9.99,-9.99,-9.99,-9.99,-9.99,-9.99,-9.99,3.4,ML,0,-9.99,Z,4,0,-0.06,3.3,3,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,-9.99,-9.99
1957,5,11,0,26,0,49.2,-115.8,3.2,3.2,-9.99,-9.99,-9.99,-9.99,-9.99,-9.99,-9.99,3.2,ML,0,-9.99,Z,4,0,-0.06,3.1,3,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,-9.99,-9.99
1958,4,12,22,37,0,48,-120,4.1,4.1,-9.99,-9.99,-9.99,-9.99,-9.99,-9.99,-9.99,4.1,ML,0,-9.99,Z,4,0,-0.06,4,3,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,-9.99,-9.99
1959,5,10,1,5,0,50.4,-115.1,3,3,-9.99,-9.99,-9.99,-9.99,-9.99,-9.99,-9.99,3,ML,0,-9.99,Z,4,0,-0.06,2.9,3,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,-9.99,-9.99
1959,10,6,22,3,0,49.6,-114.7,2.4,2.4,-9.99,-9.99,-9.99,-9.99,-9.99,-9.99,-9.99,2.4,ML,0,-9.99,Z,4,0,-0.06,2.3,3,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,-9.99,-9.99
1959,12,13,12,35,0,49.7,-119.4,2.7,2.7,-9.99,-9.99,-9.99,-9.99,-9.99,-9.99,-9.99,2.7,ML,0,-9.99,Z,4,0,-0.06,2.6,3,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,-9.99,-9.99
1960,3,28,7,48,0,48.13,-120.77,2.7,2.7,-9.99,-9.99,-9.99,-9.99,-9.99,-9.99,-9.99,2.7,ML,0,-9.99,Z,4,0,-0.06,2.6,3,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,-9.99,-9.99
1960,11,4,0,29,0,49.1,-120.6,1.5,1.5,-9.99,-9.99,-9.99,-9.99,-9.99,-9.99,-9.99,1.5,ML,0,-9.99,Z,4,0,-0.06,1.4,3,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,-9.99,-9.99
1961,4,22,16,3,0,49,-119.7,3.3,3.3,-9.99,-9.99,-9.99,-9.99,-9.99,-9.99,-9.99,3.3,ML,0,-9.99,Z,4,0,-0.06,3.2,3,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,-9.99,-9.99
1961,7,25,2,33,0,49.6,-114.4,3.2,3.2,-9.99,-9.99,-9.99,-9.99,-9.99,-9.99,-9.99,3.2,ML,0,-9.99,Z,4,0,-0.06,3.1,3,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,-9.99,-9.99
1961,7,30,1,57,0,50.8,-119.9,2.1,2.1,-9.99,-9.99,-9.99,-9.99,-9.99,-9.99,-9.99,2.1,ML,0,-9.99,Z,4,0,-0.06,2,3,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,-9.99,-9.99
1961,10,2,12,52,0,49.7,-118.6,2,2,-9.99,-9.99,-9.99,-9.99,-9.99,-9.99,-9.99,2,ML,0,-9.99,Z,4,0,-0.06,1.9,3,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,-9.99,-9.99
1961,10,31,2,35,0,48.4,-120,4.3,4.3,-9.99,-9.99,-9.99,-9.99,-9.99,-9.99,-9.99,4.3,ML,0,-9.99,Z,4,0,-0.06,4.2,3,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,-9.99,-9.99
1962,2,17,16,36,0,49.62,-116.52,2.6,2.6,-9.99,-9.99,-9.99,-9.99,-9.99,-9.99,-9.99,2.6,ML,0,-9.99,Z,4,0,-0.06,2.5,3,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,-9.99,-9.99
1962,3,4,22,58,0,49.25,-115.2,3.2,3.2,-9.99,-9.99,-9.99,-9.99,-9.99,-9.99,-9.99,3.2,ML,0,-9.99,Z,4,0,-0.06,3.1,3,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,-9.99,-9.99
1962,3,20,4,41,0,49.63,-115.35,2.8,2.8,-9.99,-9.99,-9.99,-9.99,-9.99,-9.99,-9.99,2.8,ML,0,-9.99,Z,4,0,-0.06,2.7,3,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,-9.99,-9.99
1962,3,20,9,16,0,50.15,-117.9,1.8,1.8,-9.99,-9.99,-9.99,-9.99,-9.99,-9.99,-9.99,1.8,ML,0,-9.99,Z,4,0,-0.06,1.7,3,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,-9.99,-9.99
1962,12,13,16,35,0,49.1,-120.7,2.1,2.1,-9.99,-9.99,-9.99,-9.99,-9.99,-9.99,-9.99,2.1,ML,0,-9.99,Z,4,0,-0.06,2,3,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,-9.99,-9.99
1962,12,18,13,49,0,48.1,-114.1,4.3,4.3,-9.99,-9.99,-9.99,-9.99,-9.99,-9.99,4.3,4.3,ML,0,-9.99,P,4,0,-0.06,4.2,3,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,-9.99,-9.99
1962,12,28,3,1,0,48.4,-113.9,4.3,4.3,-9.99,-9.99,-9.99,-9.99,-9.99,-9.99,-9.99,4.3,ML,0,-9.99,Z,4,0,-0.06,4.2,3,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,-9.99,-9.99
1962,12,28,10,1,0,48.4,-113.9,4.3,4.3,-9.99,-9.99,-9.99,-9.99,-9.99,-9.99,4.3,4.3,ML,33,-9.99,P,4,0,-0.06,4.2,3,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,-9.99,-9.99
1963,3,4,6,8,0,49.6,-114.8,2.3,2.3,-9.99,-9.99,-9.99,-9.99,-9.99,-9.99,-9.99,2.3,ML,0,-9.99,Z,4,0,-0.06,2.2,3,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,-9.99,-9.99
1963,3,29,17,14,0,48,-120.4,2.4,2.4,-9.99,-9.99,-9.99,-9.99,-9.99,-9.99,-9.99,2.4,ML,0,-9.99,Z,4,0,-0.06,2.3,3,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,-9.99,-9.99
1963,4,6,1,4,0,48.9,-115.4,2.7,2.7,-9.99,-9.99,-9.99,-9.99,-9.99,-9.99,-9.99,2.7,ML,0,-9.99,Z,4,0,-0.06,2.6,3,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,-9.99,-9.99
1963,6,4,5,27,0,49.15,-120.48,2.1,2.1,-9.99,-9.99,-9.99,-9.99,-9.99,-9.99,-9.99,2.1,ML,0,-9.99,Z,4,0,-0.06,2,3,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,-9.99,-9.99
1963,6,7,13,55,0,54.5,-117.8,4.1,4.1,-9.99,-9.99,-9.99,-9.99,-9.99,-9.99,-9.99,4.1,ML,0,-9.99,Z,4,0,-0.06,4,3,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,-9.99,-9.99
1963,7,2,3,40,0,51.3,-117.6,2.6,2.6,-9.99,-9.99,-9.99,-9.99,-9.99,-9.99,-9.99,2.6,ML,0,-9.99,Z,4,0,-0.06,2.5,3,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,-9.99,-9.99
1963,8,10,23,43,0,49.58,-115.42,2,2,-9.99,-9.99,-9.99,-9.99,-9.99,-9.99,-9.99,2,ML,0,-9.99,Z,4,0,-0.06,1.9,3,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,-9.99,-9.99
1963,9,18,18,15,0,52.5,-115.5,2.6,2.6,-9.99,-9.99,-9.99,-9.99,-9.99,-9.99,-9.99,2.6,ML,0,-9.99,Z,4,0,-0.06,2.5,3,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,-9.99,-9.99
1963,12,22,2,54,0,48.59,-119.76,4.4,-9.99,-9.99,4.3,-9.99,-9.99,-9.99,-9.99,4.4,4.3,MB,0,-9.99,Z,4,0,-0.06,4.2,3,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,-9.99,-9.99
1964,3,15,11,43,0,52.4,-119.6,2.5,2.5,-9.99,-9.99,-9.99,-9.99,-9.99,-9.99,-9.99,2.5,ML,0,-9.99,Z,4,0,-0.06,2.4,3,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,-9.99,-9.99
1964,3,28,10,10,0,48,-113.8,5,5,-9.99,-9.99,-9.99,-9.99,-9.99,-9.99,5,5,ML,0,-9.99,P,4,0,-0.06,4.9,3,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,-9.99,-9.99
1964,3,29,10,59,0,52,-119,3.2,3.2,-9.99,-9.99,-9.99,-9.99,-9.99,-9.99,-9.99,3.2,ML,0,-9.99,Z,4,0,-0.06,3.1,3,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,-9.99,-9.99
1964,4,14,11,45,0,49.1,-115.6,2.5,2.5,-9.99,-9.99,-9.99,-9.99,-9.99,-9.99,-9.99,2.5,ML,0,-9.99,Z,4,0,-0.06,2.4,3,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,-9.99,-9.99
1964,4,17,9,8,0,50.1,-117.1,2.8,2.8,-9.99,-9.99,-9.99,-9.99,-9.99,-9.99,-9.99,2.8,ML,0,-9.99,Z,4,0,-0.06,2.7,3,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,-9.99,-9.99
1964,4,18,10,7,0,49.5,-119.7,2.4,2.4,-9.99,-9.99,-9.99,-9.99,-9.99,-9.99,-9.99,2.4,ML,0,-9.99,Z,4,0,-0.06,2.3,3,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,-9.99,-9.99
1964,4,18,10,32,0,50.5,-116.5,2.2,2.2,-9.99,-9.99,-9.99,-9.99,-9.99,-9.99,-9.99,2.2,ML,0,-9.99,Z,4,0,-0.06,2.1,3,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,-9.99,-9.99
1964,4,18,15,32,0,50.5,-116.5,2.2,2.2,-9.99,-9.99,-9.99,-9.99,-9.99,-9.99,-9.99,2.2,ML,0,-9.99,Z,4,0,-0.06,2.1,3,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,-9.99,-9.99
1964,4,26,1,42,0,48.7,-120.5,4.4,3.3,-9.99,-9.99,-9.99,-9.99,4.4,-9.99,-9.99,3.3,ML,0,-9.99,Z,4,0,-0.06,3.2,3,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,-9.99,-9.99
1964,4,28,9,34,0,49,-115.6,2.8,2.8,-9.99,-9.99,-9.99,-9.99,-9.99,-9.99,-9.99,2.8,ML,0,-9.99,Z,4,0,-0.06,2.7,3,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,-9.99,-9.99
1964,6,10,19,44,0,52,-119,2.9,2.9,-9.99,-9.99,-9.99,-9.99,-9.99,-9.99,-9.99,2.9,ML,0,-9.99,Z,4,0,-0.06,2.8,3,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,-9.99,-9.99
1964,6,26,12,24,0,48.2,-115.1,4.7,-9.99,-9.99,4.7,-9.99,-9.99,-9.99,-9.99,-9.99,4.7,MB,33,-9.99,P,4,0,-0.06,4.6,3,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,-9.99,-9.99
1964,8,2,22,26,0,49.4,-116.6,3.1,3.1,-9.99,-9.99,-9.99,-9.99,-9.99,-9.99,-9.99,3.1,ML,0,-9.99,Z,4,0,-0.06,3,3,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,-9.99,-9.99
1964,11,23,21,50,0,52.6,-116.4,2.6,2.6,-9.99,-9.99,-9.99,-9.99,-9.99,-9.99,-9.99,2.6,ML,0,-9.99,Z,4,0,-0.06,2.5,3,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,-9.99,-9.99
1964,12,13,13,48,0,59,-112.25,3.7,3.7,-9.99,-9.99,-9.99,-9.99,-9.99,-9.99,-9.99,3.7,ML,0,-9.99,Z,4,0,-0.06,3.6,3,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,-9.99,-9.99
1965,1,1,16,33,0,49.5,-120.1,2.6,2.6,-9.99,-9.99,-9.99,-9.99,-9.99,-9.99,-9.99,2.6,ML,0,-9.99,Z,4,0,-0.06,2.5,3,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,-9.99,-9.99
1965,3,8,19,30,0,52.6,-115.4,3,3,-9.99,-9.99,-9.99,-9.99,-9.99,-9.99,-9.99,3,ML,0,-9.99,Z,4,0,-0.06,2.9,3,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,-9.99,-9.99
1965,3,23,0,28,0,49.7,-117.4,4,4,-9.99,-9.99,-9.99,-9.99,-9.99,-9.99,-9.99,4,ML,0,-9.99,Z,4,0,-0.06,3.9,3,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,-9.99,-9.99
1965,3,24,12,44,0,49.9,-117.4,3.8,3.8,-9.99,-9.99,-9.99,-9.99,-9.99,-9.99,-9.99,3.8,ML,0,-9.99,Z,4,0,-0.06,3.7,3,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,-9.99,-9.99
1965,4,21,11,47,0,52.3,-117.2,3.7,3.7,-9.99,-9.99,-9.99,-9.99,-9.99,-9.99,-9.99,3.7,ML,0,-9.99,Z,4,0,-0.06,3.6,3,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,-9.99,-9.99
1965,4,28,19,0,0,48.6,-116.9,4.3,4.3,-9.99,-9.99,-9.99,-9.99,-9.99,-9.99,-9.99,4.3,ML,0,-9.99,Z,4,0,-0.06,4.2,3,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,-9.99,-9.99
1965,7,28,18,33,0,52.3,-119.8,3.5,3.5,-9.99,-9.99,-9.99,-9.99,-9.99,-9.99,-9.99,3.5,ML,0,-9.99,Z,4,0,-0.06,3.4,3,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,-9.99,-9.99
1965,9,16,7,8,0,51.8,-117.3,3.1,3.1,-9.99,-9.99,-9.99,-9.99,-9.99,-9.99,-9.99,3.1,ML,0,-9.99,Z,4,0,-0.06,3,3,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,-9.99,-9.99
1965,10,9,10,10,0,48.1,-114.4,4,-9.99,-9.99,4,-9.99,-9.99,-9.99,-9.99,-9.99,4,MB,33,-9.99,P,4,0,-0.06,3.9,3,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,-9.99,-9.99
1966,1,2,10,10,0,51.5,-116.5,4.5,4.5,-9.99,-9.99,-9.99,-9.99,-9.99,-9.99,-9.99,4.5,ML,0,-9.99,Z,4,0,-0.06,4.4,3,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,-9.99,-9.99
1966,4,29,23,28,0,48,-113.8,4.3,4.3,-9.99,-9.99,-9.99,-9.99,-9.99,-9.99,-9.99,4.3,ML,0,-9.99,Z,4,0,-0.06,4.2,3,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,-9.99,-9.99
1966,4,30,6,27,0,48,-113.8,3.9,-9.99,-9.99,3.9,-9.99,-9.99,-9.99,-9.99,-9.99,3.9,MB,33,-9.99,Z,4,0,-0.06,3.8,3,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,-9.99,-9.99
1966,5,20,14,44,0,55.5,-122.33,3.7,3.7,-9.99,-9.99,-9.99,-9.99,-9.99,-9.99,-9.99,3.7,ML,0,-9.99,Z,4,0,-0.06,3.6,3,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,-9.99,-9.99
1966,5,29,13,47,0,49.4,-114.9,3.5,3.5,-9.99,-9.99,-9.99,-9.99,-9.99,-9.99,-9.99,3.5,ML,0,-9.99,Z,4,0,-0.06,3.4,3,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,-9.99,-9.99
