time,number of fractures
2015-03-18,6
2015-03-19,6
2015-03-20,5
2015-03-21,1
2015-03-22,3
2015-03-23,2
2015-03-24,2
2015-04-25,2
2015-04-26,1
2015-04-27,1
2015-04-28,2
2015-04-29,2
2015-04-30,1
2015-05-01,3
2015-05-02,4
2015-05-03,7
2015-05-04,3
2015-05-05,6
2015-05-06,5
2015-05-07,4
2015-05-08,2
2015-05-09,1
2015-05-10,6
2015-05-11,4
2015-05-12,5
2015-05-13,8
2015-05-14,6
2015-05-15,7
2015-05-16,6
2015-05-17,8
2015-05-18,9
2015-05-19,7
2015-05-20,9
2015-05-21,10
2015-05-22,13
2015-05-23,14
2015-05-24,17
2015-05-25,17
2015-05-26,15
2015-05-27,14
2015-05-28,16
2015-05-29,14
2015-05-30,18
2015-05-31,16
2015-06-01,17
2015-06-02,17
2015-06-03,18
2015-06-04,18
2015-06-05,18
2015-06-06,11
2015-06-07,17
2015-06-28,2
2015-06-29,17
2015-06-30,16
2015-07-01,5
2015-07-02,5
2015-07-03,6
2015-07-04,6
2015-07-05,1
2015-07-06,1
2015-07-07,4
2015-07-08,4
2015-07-09,6
2015-07-10,10
2015-07-11,5
2015-07-12,11
2015-07-13,13
2015-07-14,15
2015-07-15,22
2015-07-16,25
2015-07-17,21
2015-07-18,8
2015-07-19,8
2015-07-20,12
2015-07-21,32
2015-07-22,6
2015-07-23,5
2015-07-25,6
2015-07-26,8
2015-07-27,1
2015-07-28,4
2015-07-29,7
2015-07-30,7
2015-07-31,6
2015-08-01,4
2015-08-02,8
2015-08-03,7
2015-08-04,7
2015-08-05,8
2015-08-06,10
2015-08-07,12
2015-08-08,11
2015-08-09,12
2015-08-10,14
2015-08-11,10
2015-08-12,13
2015-08-13,15
2015-08-14,42
2015-08-15,17
2015-08-16,14
2015-08-17,15
2015-08-18,16
2015-08-19,19
2015-08-20,21
2015-08-21,29
2015-08-22,24
2015-08-23,26
2015-08-24,35
2015-08-25,39
2015-08-26,26
2015-08-27,41
2015-08-28,23
2015-08-29,29
2015-08-30,23
2015-08-31,27
2015-09-01,13
2015-09-02,13
2015-09-03,13
2015-09-04,16
2015-09-05,10
2015-09-06,10
2015-09-07,9
2015-09-08,9
2015-09-09,13
2015-09-10,13
2015-09-11,17
2015-09-12,18
2015-09-13,12
2015-09-14,12
2015-09-15,13
2015-09-16,12
2015-09-17,25
2015-09-18,17
2015-09-19,12
2015-09-20,14
2015-09-21,12
2015-09-22,15
2015-09-23,4
2015-09-28,5
2015-09-29,23
2015-09-30,9
2015-10-16,4
2015-10-17,13
2015-10-31,1
2015-11-18,6
2015-11-19,4
2015-11-20,2
2015-11-21,7
2015-11-22,6
2015-11-23,18
2015-11-24,30
2015-11-25,7
2015-11-26,18
2015-11-27,20
2015-11-28,10
2015-11-29,27
2015-11-30,7
2015-12-01,6
2015-12-02,9
2015-12-03,8
2015-12-04,7
2015-12-05,9
2015-12-06,11
2015-12-07,10
2015-12-08,10
2015-12-09,2
2015-12-10,4
2015-12-11,10
2015-12-12,12
2015-12-13,11
2015-12-14,13
2015-12-15,10
2015-12-16,12
2015-12-17,26
2015-12-18,18
2015-12-19,9
2015-12-20,25
2015-12-21,30
2015-12-22,24
2015-12-23,12
2015-12-24,8
2015-12-25,3
2015-12-27,10
2015-12-28,17
2015-12-29,22
2015-12-30,24
2015-12-31,10
2016-01-01,2
2016-01-03,2
2016-01-04,2
2016-01-05,4
2016-01-06,5
2016-01-07,4
2016-01-08,8
2016-01-09,5
2016-01-10,9
2016-01-11,9
2016-01-12,8
2016-01-13,6
2016-01-14,7
2016-01-15,11
2016-01-16,15
2016-01-17,5
2016-01-18,57
2016-01-19,20
2016-01-20,28
2016-01-21,35
2016-01-22,31
2016-01-23,13
2016-01-24,14
2016-01-25,12
2016-01-26,13
2016-01-27,13
2016-01-28,11
2016-01-29,12
2016-01-30,12
2016-01-31,15
2016-02-01,15
2016-02-02,36
2016-02-03,12
2016-02-04,15
2016-02-05,14
2016-02-06,15
2016-02-07,6
2016-02-08,8
2016-02-09,8
2016-02-10,8
2016-02-11,5
2016-02-12,17
2016-02-13,17
2016-02-14,7
2016-02-15,9
2016-02-16,17
2016-02-17,26
2016-02-18,25
2016-02-19,23
2016-02-20,12
2016-02-21,16
2016-02-22,22
2016-02-23,23
2016-02-24,27
2016-02-25,42
2016-02-26,28
2016-02-27,27
2016-02-28,13
2016-02-29,7
2016-03-01,5
2016-03-02,5
2016-03-03,32
2016-03-04,7
2016-03-05,8
2016-03-06,3
2016-03-07,11
2016-03-08,14
2016-03-09,8
2016-03-10,6
2016-03-11,8
2016-03-12,6
2016-03-13,9
2016-03-14,8
2016-03-15,7
2016-03-16,9
2016-03-17,10
2016-03-18,10
2016-03-19,9
2016-03-20,6
2016-03-21,3
2016-03-22,3
2016-03-23,7
2016-03-24,3
2016-03-25,8
2016-04-25,4
2016-04-26,6
2016-04-27,9
2016-04-28,7
2016-04-29,8
2016-04-30,11
2016-05-01,11
2016-05-02,6
2016-05-03,5
2016-05-04,10
2016-05-05,10
2016-05-06,12
2016-05-07,11
2016-05-08,14
2016-05-09,14
2016-05-10,10
2016-05-11,14
2016-05-12,16
2016-05-13,16
2016-05-14,13
2016-05-15,13
2016-05-16,14
2016-05-17,9
2016-05-18,14
2016-05-19,13
2016-05-20,6
2016-05-21,4
2016-05-30,3
2016-05-31,11
2016-06-01,11
2016-06-02,12
